race,horse_name,post_position,today_s_trainer,workout_readiness_score,workout_readiness_category,workout_quality_score,bullet_work_count,works_last_14d,pct_fast_works,workout_rank
12,CHUNK OF GOLD,19,WEST ETHAN W,73.95454545454545,Good,57.0,2.0,0.0,90.9090909090909,6.0
12,JOURNALISM,8,MCCARTHY MICHAEL W,67.0,Good,34.0,0.0,0.0,100.0,7.0
12,FINAL GAMBIT,3,COX BRAD H,66.5,Good,33.0,0.0,0.0,100.0,8.0
12,BURNHAM SQUARE,9,WILKES IAN R,63.95454545454545,Good,37.0,0.0,0.0,90.9090909090909,9.0
12,GRANDE,10,PLETCHER TODD A,63.86363636363637,Good,55.0,2.0,0.0,72.72727272727273,10.0
12,SANDMAN,17,CASSE MARK,61.95454545454545,Good,33.0,0.0,0.0,90.9090909090909,11.0
12,RENDER JUDGMENT,15,MCPEEK KENNETH G,61.45454545454545,Good,32.0,0.0,0.0,90.9090909090909,12.0
12,COAL BATTLE,16,BRILEY LONNIE,60.409090909090914,Good,39.0,0.0,0.0,81.81818181818183,13.0
12,NEOEQUOS,2,JOSEPH SAFFIE A JR,58.36363636363637,Fair,44.0,1.0,0.0,72.72727272727273,14.0
12,SOVEREIGNTY,18,MOTT WILLIAM I,58.18181818181819,Fair,34.54545454545455,0.0,0.0,81.81818181818183,15.0
12,BAEZA,21,SHIRREFFS JOHN,56.272727272727266,Fair,58.0,2.0,0.0,54.54545454545454,16.0
12,FLYING MOHAWK,11,BECKMAN D WHITWORTH,52.36363636363637,Fair,32.0,0.0,0.0,72.72727272727273,17.0
12,TIZTASTIC,14,ASMUSSEN STEVEN M,52.36363636363637,Fair,32.0,0.0,0.0,72.72727272727273,17.0
12,PUBLISHER,13,ASMUSSEN STEVEN M,48.31818181818181,Fair,33.0,0.0,0.0,63.63636363636363,19.0
12,LUXOR CAFE,7,HORI NORIYUKI,25.0,Poor,,,,,20.0
12,ADMIRE DAYTONA,6,KATO YUKIHIRO,10.5,Poor,21.0,0.0,0.0,0.0,21.0
13,BIG TRUZZ,14,LYNCH BRIAN A,81.95454545454545,Excellent,73.0,3.0,0.0,90.9090909090909,1.0
13,MULTIVERSE,7,MOTT RILEY,77.77272727272728,Good,55.54545454545455,2.0,0.0,100.0,2.0
13,ROMANESQUE,9,BAFFERT BOB,77.0,Good,54.0,1.0,0.0,100.0,3.0
13,CLASSIC TIME,6,CASSE MARK,74.5,Good,49.0,1.0,0.0,100.0,4.0
13,OPTICAL,10,DESORMEAUX J KEITH,73.5,Good,47.0,1.0,0.0,100.0,5.0
13,FULLY VOLATILE,13,HEITZMAN ERIC,73.44444444444444,Good,58.0,2.0,0.0,88.88888888888889,6.0
13,JOEJOE GO,12,WALSH BRENDAN P,68.0,Good,36.0,0.0,0.0,100.0,7.0
13,PATCH ADAMS,11,COX BRAD H,67.95454545454545,Good,45.0,1.0,0.0,90.9090909090909,8.0
13,FURIO,3,SHARP JOE,64.95454545454545,Good,39.0,0.0,0.0,90.9090909090909,9.0
13,SHAN,4,MOGER ED JR,64.36363636363637,Good,56.0,2.0,0.0,72.72727272727273,10.0
13,TERRAPIN STATION,16,ROMANS DALE,59.86363636363637,Fair,47.0,1.0,0.0,72.72727272727273,11.0
13,TOUCHY,8,WARD WESLEY A,56.86363636363637,Fair,41.0,1.0,0.0,72.72727272727273,12.0
13,DAPPER MOON,2,STEWART DALLAS,52.86363636363637,Fair,33.0,0.0,0.0,72.72727272727273,13.0
13,JACK'S PROMISE,1,ROMANS DALE,52.36363636363637,Fair,32.0,0.0,0.0,72.72727272727273,14.0
13,TINY LAKE,5,SANCHEZ-SALOMON RODOLFO,40.95454545454545,Fair,45.54545454545455,1.0,0.0,36.36363636363637,15.0
13,HAUNTED FLAME,15,JACOBSON DAVID,28.636363636363633,Poor,30.0,0.0,0.0,27.27272727272727,16.0
14,MAINSTREAM,14,COX BRAD H,70.45454545454545,Good,50.0,1.0,0.0,90.9090909090909,1.0
14,INTO THIN AIR,1,AMOSS THOMAS M,69.4090909090909,Good,57.0,2.0,0.0,81.81818181818183,2.0
14,HARBE,8,CRICHTON ROHAN,65.45454545454545,Good,40.0,0.0,0.0,90.9090909090909,3.0
14,SHALLUS,11,LABRA ROGELIO,64.86363636363637,Good,57.0,2.0,0.0,72.72727272727273,4.0
14,ARTHUR JR,6,LEITCH DANIEL,61.95454545454545,Good,33.0,0.0,0.0,90.9090909090909,5.0
14,BON TEMPS,3,LUKAS D WAYNE,59.909090909090914,Fair,38.0,0.0,0.0,81.81818181818183,6.0
14,ADVANCED SPIRIT,5,STIDHAM MICHAEL,55.86363636363637,Fair,39.0,0.0,0.0,72.72727272727273,7.0
14,SEND COINS,7,MCVICKERS LAMAR,54.36363636363637,Fair,36.0,0.0,0.0,72.72727272727273,8.0
14,DELTA TAU CHI,9,MAKER MICHAEL J,54.36363636363636,Fair,45.09090909090909,1.0,0.0,63.63636363636363,9.0
14,PURSUITNEVERSLEEPS,12,ROMANS DALE,49.31818181818181,Fair,35.0,0.0,0.0,63.63636363636363,10.0
14,EXCITE,10,MOTT WILLIAM I,49.272727272727266,Fair,44.0,1.0,0.0,54.54545454545454,11.0
14,BLISTERING,4,REED ERIC R,47.81818181818181,Fair,32.0,0.0,0.0,63.63636363636363,12.0
14,LAMBO,13,ASMUSSEN STEVEN M,38.22727272727273,Poor,31.0,0.0,0.0,45.45454545454545,13.0
14,PEDIATRICIAN,2,SALAZAR MARCO,29.5,Poor,34.0,0.0,0.0,25.0,14.0
