race,horse_name,earnings_class_score,hidden_class_score,overall_class_rating,hidden_vs_earnings_diff
13,FURIO,55.80833333333334,60.73794363514494,48.33513309054348,4.9296103018116
8,EXTRA ANEJO,71.37,76.15167639115909,63.71200291734773,4.781676391159081
3,STRUMMIN,46.5625,51.341043091441044,37.60543792743231,4.778543091441044
7,BOSS SULLY,54.04019595575102,58.72423076923077,45.68535741085719,4.684034813479755
11,SPIRIT OF ST LOUIS,71.406,75.77429449195552,62.36498834758666,4.36829449195551
10,KOPION,68.23992805755395,72.52639341523668,61.215885650470284,4.286465357682729
4,CHIRON,46.76724137931035,50.82961538461539,53.79414323607428,4.062374005305038
12,PUBLISHER,70.12857142857143,74.14012859082507,58.799895720104665,4.011557162253638
9,WARLANDER,54.86961790242837,58.873104452324,47.35325939178996,4.003486549895634
14,EXCITE,38.134,41.94307692307692,47.24322307692307,3.8090769230769226
9,CHARLIE'S TO BLAME,54.31,58.06209252746227,46.85812775823868,3.752092527462267
12,JOURNALISM,72.94,76.66837007069624,64.57351102120887,3.7283700706962435
12,TIZTASTIC,70.61865272017565,73.9629315342755,62.71727318436169,3.3442788140998516
11,INTEGRATION,70.69227180906779,74.01543270672545,66.51615212609813,3.323160897657658
3,VALENTINIAN,56.5,59.57780669255594,48.29834200776678,3.0778066925559386
14,PEDIATRICIAN,37.75,40.80769230769231,46.729807692307695,3.0576923076923066
12,SANDMAN,72.8925,75.93091379037048,64.33089913711115,3.038413790370484
9,ZULU KINGDOM,63.44200092880055,66.1923076923077,53.40659272565256,2.7503067635071403
9,SCIPIO,65.62857142857143,67.9780565701348,58.676274113897584,2.3494851415633633
8,MULLIKIN,71.41363636363636,73.7446272270972,63.00952453176552,2.3309908634608405
7,ARREST ME RED,63.135401855517365,65.42307692307692,55.537853911905884,2.2876750675595545
8,BANISHING,71.37,73.3400123122974,65.36850369368922,1.9700123122973991
6,SMOKEN WICKED,59.135244649511286,61.03007032744976,46.169881190515,1.8948256779384707
3,HYPNUS,56.5,58.29076923076923,51.66223076923077,1.7907692307692287
5,PIN UP BETTY,61.83571428571429,63.26769230769231,51.80637912087912,1.4319780219780185
3,BRACKET BUSTER,58.06,58.71556656770546,48.74166997031164,0.6555665677054563
12,FLYING MOHAWK,65.6,66.12420835338536,58.1072625060156,0.5242083533853616
2,TAPIT QUICK,48.04,48.287881895753074,47.35436456872592,0.24788189575307484
10,MYSTIC LAKE,66.89273896064884,66.84707398394917,61.40585472747673,-0.04566497669966907
8,HOIST THE GOLD,58.10744501089356,57.471538461538465,50.88981179336364,-0.6359065493550915
10,HAULIN ICE,63.80623070904729,63.1573076923077,51.40999612676359,-0.6489230167395945
12,RODRIGUEZ,72.94,71.95099410298286,63.15829823089486,-0.9890058970171367
9,CLASSIC OF COURSE,59.8942861649181,58.88461538461539,52.11781338959776,-1.009670780302713
6,CALIFORNIA BURRITO,61.78993447953894,60.670484713280906,51.0066159297768,-1.119449766258036
1,CHILLAX,42.75,41.198846153846155,49.097153846153844,-1.551153846153845
5,SIMPLY IN FRONT,72.85363636363635,70.98712229306798,59.08027305155676,-1.8665140705683712
8,BOOK'EM DANNO,62.69518575851393,60.71923076923077,57.6786028221005,-1.97595498928316
5,MOVIN' ON UP,61.055975554889024,58.88692307692308,50.14126592277699,-2.1690524779659413
10,MY MANE SQUEEZE,62.67868304219742,58.621153846153845,53.291753522834995,-4.057529196043575
9,A. P. KID,56.5,52.224930960506114,51.092479288151836,-4.275069039493886
10,SCYLLA,69.54924719187864,65.23076923076923,59.61639200557615,-4.318477961109409
10,WAYS AND MEANS,69.77201167728238,65.23076923076923,55.96663602400784,-4.541242446513152
11,MERCANTE,64.8703581685583,60.03076923076923,55.950891945082006,-4.839588937789067
12,EAST AVENUE,68.44955138866905,61.89038461538461,54.36941350951646,-6.5591667732844385
14,PURSUITNEVERSLEEPS,56.5,49.8673972804046,57.88521918412138,-6.632602719595397
12,LUXOR CAFE,65.15,58.42307692307692,55.59442307692308,-6.726923076923086
12,COAL BATTLE,72.8925,65.94332620994417,61.33462286298325,-6.9491737900558235
13,ROMANESQUE,69.10185185185185,62.01080199168254,54.6990739308381,-7.091049860169306
3,TIZ SECURE,56.5,49.08461538461538,45.15038461538462,-7.4153846153846175
3,RAPTURE,69.35,61.61960604618301,50.9433818138549,-7.730393953816986
12,SOVEREIGNTY,72.902,65.00769230769231,61.05820769230769,-7.894307692307692
10,POSITANO SUNSET,66.834375,58.885,58.99096874999999,-7.949374999999996
9,TEST SCORE,71.4,60.50653846153846,59.031961538461545,-10.893461538461544
8,NYSOS,79.22670807453416,67.71140520722153,60.96544019570683,-11.515302867312627
12,BURNHAM SQUARE,72.90833333333333,60.61576923076923,59.74348076923077,-12.2925641025641
13,PATCH ADAMS,68.6228,55.230769230769226,52.44949076923076,-13.392030769230772
12,CHUNK OF GOLD,80.0,66.39771567367633,64.6693147021029,-13.60228432632367
12,BAEZA,71.75,58.0844923892461,58.46284771677383,-13.665507610753899
12,GRANDE,78.5,64.03470652549298,63.285411957647895,-14.465293474507021
3,GOAL ORIENTED,70.25,55.518227383588005,58.2679682150764,-14.731772616411995
7,THINK BIG,65.59375,50.79115384615385,53.50453365384615,-14.802596153846153
13,BIG TRUZZ,74.75,59.37986900011651,61.45146070003496,-15.370130999883493
5,SPECIAL WAN,58.0875,40.905,39.660875000000004,-17.182499999999997
3,SORCERER'S SILVER,70.25,52.65594633518581,52.40928390055574,-17.59405366481419
9,IRON MAN CAL,78.5,59.9203096465414,62.05109289396242,-18.579690353458602
12,ADMIRE DAYTONA,72.87666666666667,49.892307692307696,56.51219230769231,-22.98435897435897
13,TERRAPIN STATION,70.25,47.057307692307695,50.72969230769231,-23.192692307692305
1,BANDED HUMOR,76.25,50.12757582671039,66.85077274801311,-26.12242417328961
12,FINAL GAMBIT,82.75,55.00769230769231,62.48980769230769,-27.74230769230769
1,KNICKS CODE,76.25,46.50981742412144,65.76544522723643,-29.740182575878563
