race,horse_name,class_move_direction,class_move_magnitude,class_suitability_score
12,RODRIGUEZ,Up,8.3,35
12,AMERICAN PROMISE,Up,8.3,20
12,ADMIRE DAYTONA,Up,8.3,35
12,LUXOR CAFE,Up,8.3,35
12,JOURNALISM,Up,8.3,35
12,BURNHAM SQUARE,Up,9.3,35
12,GRANDE,Up,8.3,35
12,FLYING MOHAWK,Up,8.3,35
12,EAST AVENUE,Up,8.3,20
12,PUBLISHER,Up,8.3,20
12,TIZTASTIC,Up,8.3,35
12,RENDER JUDGMENT,Up,8.3,5
12,COAL BATTLE,Up,8.3,35
12,SANDMAN,Up,8.3,35
12,SOVEREIGNTY,Up,8.3,35
12,CHUNK OF GOLD,Up,8.3,35
12,OWEN ALMIGHTY,Up,8.3,35
12,BAEZA,Up,8.3,35
13,JACK'S PROMISE,Up,5.0,45
13,DAPPER MOON,Up,5.0,50
13,FURIO,Up,5.0,20
13,SHAN,Up,5.0,20
13,TINY LAKE,Up,6.0,45
13,CLASSIC TIME,Up,5.0,20
13,MULTIVERSE,Up,5.0,45
13,TOUCHY,Lateral,0.0,50
13,ROMANESQUE,Up,5.0,20
13,OPTICAL,Up,5.0,5
13,PATCH ADAMS,Up,5.0,20
13,JOEJOE GO,Up,5.0,20
13,FULLY VOLATILE,Up,5.0,30
13,BIG TRUZZ,Up,5.0,40
13,HAUNTED FLAME,Up,5.0,45
13,TERRAPIN STATION,Up,5.0,20
14,INTO THIN AIR,Lateral,0.0,70
14,PEDIATRICIAN,Lateral,0.0,70
14,BON TEMPS,Lateral,0.0,55
14,BLISTERING,Lateral,0.0,70
14,ADVANCED SPIRIT,Lateral,0.0,70
14,ARTHUR JR,Lateral,0.0,70
14,SEND COINS,Lateral,0.0,70
14,HARBE,Lateral,0.0,70
14,DELTA TAU CHI,Lateral,0.0,70
14,EXCITE,Lateral,0.0,70
14,SHALLUS,Lateral,0.0,70
14,PURSUITNEVERSLEEPS,Lateral,0.0,70
14,LAMBO,Lateral,0.0,70
14,MAINSTREAM,Lateral,0.0,70
