race,horse_name,post_position,morn_line_odds_if_available,final_rating,overall_rank,integrated_fitness_score,form_cycle_state,pace_advantage,class_move_projection,key_angles,prediction_confidence
13,DO GOODER,6,30.0,60.01539725359294,1.0,56.5686679493966,DECLINING,Controls_race,Questionable,"Top_rated, Value_play",75
13,SEGESTA,3,15.0,59.820650869835056,2.0,56.715650802852075,FRESHENING,Must_close_into_slow_pace,Questionable,Value_play,75
13,SIMPLY IN FRONT,4,15.0,59.446819483158386,3.0,60.32210014389284,FRESHENING,Must_close_into_slow_pace,Questionable,Value_play,75
13,EXCELLENT TRUTH,8,2.5,59.030266176092454,4.0,55.47375718835962,INSUFFICIENT_DATA,Must_close_into_slow_pace,Questionable,None,75
13,KEHOE BEACH,5,4.5,58.868660733494146,5.0,53.997634978834796,FRESHENING,Must_close_into_slow_pace,Questionable,None,75
13,HEREDIA,10,15.0,56.9896659859713,6.0,57.02518301239416,INSUFFICIENT_DATA,Must_close_into_slow_pace,Questionable,None,75
13,DYNAMIC PRICING,1,12.0,56.44198912863391,7.0,58.99726536236593,FRESHENING,Must_close_into_slow_pace,Questionable,None,75
13,SPECIAL WAN,2,10.0,54.56450227452365,8.0,51.66201195390689,FRESHENING,Must_close_into_slow_pace,Questionable,None,75
13,A LILAC ROLLA,7,6.0,54.13635419731792,9.0,55.70154283710956,INSUFFICIENT_DATA,Must_close_into_slow_pace,,None,75
13,CHOISYA,9,4.0,54.091330676756456,10.0,51.29921672676157,INSUFFICIENT_DATA,Must_close_into_slow_pace,Questionable,None,75
13,SACRED WISH,11,12.0,48.07514504120641,11.0,46.23315217194434,DECLINING,Must_close_into_slow_pace,Questionable,None,75
14,POPPY'S TICKET,14,8.0,108.59642254535329,1.0,56.267575757575756,,Even_chance,Appropriate_level,Top_rated,75
14,TERMINAL VELOCITY,3,15.0,105.81562591454666,2.0,55.204295956635086,,Even_chance,Appropriate_level,Value_play,75
14,COUNTER MOVE,12,3.0,102.5554144296428,3.0,52.45422391091115,FRESHENING,Even_chance,Appropriate_level,None,75
