race,horse_name,post_position,overall_class_rating,class_rank,class_category,class_edge,earnings_class_score,hidden_class_score,class_move_direction
5,POOLSIDE WITH SLIM,8,46.60125179907568,9.0,Claiming,None,51.61363647657844,61.25038461538461,Up
5,SPECIAL WAN,10,39.660875000000004,10.0,Low,Rising_star,58.0875,40.905,Up
6,MADAKET ROAD,1,63.08846518447571,1.0,Allowance,Rising_star,70.144,75.91221728158568,Up
6,GAMING,6,59.06807005687366,2.0,Claiming,None,63.73430956423316,72.12543584322913,Up
6,PERFECT FORCE,9,55.59521550594445,3.0,Claiming,Rising_star,54.3,66.36738501981483,Up
6,BUILT,2,53.18531749426721,4.0,Claiming,None,58.82422868828701,72.38138194846017,Up
6,CALIFORNIA BURRITO,3,51.0066159297768,5.0,Claiming,Rising_star,61.78993447953894,60.670484713280906,Up
6,GATE TO WIRE,5,49.695253280759005,6.0,Claiming,None,58.895050000000005,73.14160260253001,Up
6,MACHO MUSIC,7,49.30273314832962,7.0,Claiming,"Hidden_quality, Rising_star",52.25182973403011,69.29803256005358,Up
6,SMOKEN WICKED,4,46.169881190515,8.0,Claiming,None,59.135244649511286,61.03007032744976,Up
6,INNOVATOR,8,42.29687515207921,9.0,Claiming,Hidden_quality,44.82584567239431,69.58414866500591,Up
7,NOBALS,3,57.05369247475353,1.0,Claiming,None,56.045820433647464,68.6102442653739,Up
7,ROGUE LIGHTNING,8,56.69617977694554,2.0,Claiming,Rising_star,59.30882352941177,70.8573639623675,Up
7,ARREST ME RED,5,55.537853911905884,3.0,Claiming,None,63.135401855517365,65.42307692307692,Down
7,COPPOLA,1,54.11742478910041,4.0,Claiming,None,59.3473985370657,66.37031815806948,Lateral
7,THINK BIG,7,53.50453365384615,5.0,Claiming,Rising_star,65.59375,50.79115384615385,Up
7,ONE TIMER,4,53.447934265135274,6.0,Claiming,None,56.038848167356505,69.1015086327495,Lateral
7,RUN CARSON,6,51.674569626600906,7.0,Claiming,Hidden_quality,45.07094369111233,67.14214988533452,Up
7,AMBIVALENT,2,48.354230768278924,8.0,Claiming,None,45.14474357759029,60.130320527877636,Up
7,EAMONN,11,46.13072596153846,9.0,Claiming,Rising_star,46.77375,58.60846153846154,Lateral
7,BOSS SULLY,9,45.68535741085719,10.0,Claiming,Rising_star,54.04019595575102,58.72423076923077,Up
7,UNCONQUERABLE KEEN,10,44.01085874497842,11.0,Claiming,Hidden_quality,38.11549806576402,64.52961538461538,Lateral
7,MISCHIEVOUS ROGUE,12,41.93126175878004,12.0,Claiming,Hidden_quality,37.88620748814209,70.44156129705368,Up
8,BANISHING,2,65.36850369368922,1.0,Allowance,Rising_star,71.37,73.3400123122974,Up
8,EXTRA ANEJO,6,63.71200291734773,2.0,Allowance,Rising_star,71.37,76.15167639115909,Up
8,MULLIKIN,11,63.00952453176552,3.0,Allowance,Rising_star,71.41363636363636,73.7446272270972,Up
8,MINDFRAME,7,62.254331564151435,4.0,Allowance,None,68.30480474542759,75.89056476236341,Up
8,NYSOS,10,60.96544019570683,5.0,Allowance,Rising_star,79.22670807453416,67.71140520722153,Up
8,BOOK'EM DANNO,3,57.6786028221005,6.0,Claiming,None,62.69518575851393,60.71923076923077,Up
8,GIANT MISCHIEF,4,56.05910862797359,7.0,Claiming,None,62.7966261290623,76.00208956631853,Up
8,TEJANO TWIST,5,53.6848229017959,8.0,Claiming,None,59.380632089460974,64.87846153846154,Up
8,HOIST THE GOLD,8,50.88981179336364,9.0,Claiming,None,58.10744501089356,57.471538461538465,Up
8,HERE MI SONG,9,46.83875469115479,10.0,Claiming,Hidden_quality,44.957916407694405,63.69230769230769,Lateral
8,JUST STEEL,1,45.7472571176221,11.0,Claiming,Hidden_quality,44.965373965517244,72.54279611046447,Up
9,IRON MAN CAL,10,62.05109289396242,1.0,Allowance,Rising_star,78.5,59.9203096465414,Up
9,TEST SCORE,5,59.031961538461545,2.0,Claiming,Rising_star,71.4,60.50653846153846,Up
9,SCIPIO,2,58.676274113897584,3.0,Claiming,Rising_star,65.62857142857143,67.9780565701348,Up
9,MAUI STRONG,13,54.876700877478385,4.0,Claiming,None,59.2489336492891,64.88226911766095,Up
9,ZULU KINGDOM,7,53.40659272565256,5.0,Claiming,None,63.44200092880055,66.1923076923077,Up
9,MI BAGO,4,53.36604928793237,6.0,Claiming,Rising_star,64.10070880610363,69.23576775061913,Up
9,CLASSIC OF COURSE,11,52.11781338959776,7.0,Claiming,Rising_star,59.8942861649181,58.88461538461539,Up
9,MEGALODON,14,51.22342845483066,8.0,Claiming,Rising_star,54.617,59.652594849435545,Up
9,A. P. KID,17,51.092479288151836,9.0,Claiming,Rising_star,56.5,52.224930960506114,Up
9,GOLDEN AFTERNOON,12,47.643240507407356,10.0,Claiming,None,51.37946838902,65.0749324411612,Up
9,WARLANDER,1,47.35325939178996,11.0,Claiming,None,54.86961790242837,58.873104452324,Up
9,NEW CENTURY,3,47.05290655203288,12.0,Claiming,Hidden_quality,44.92098891904741,64.46153846153847,Up
9,CHARLIE'S TO BLAME,8,46.85812775823868,13.0,Claiming,Rising_star,54.31,58.06209252746227,Up
9,MAXIMUM PROMISE,6,46.541261367434196,14.0,Claiming,None,51.93999268957268,60.56088219042163,Up
9,HAMMERHEAD,15,41.80313537349719,15.0,Claiming,"Hidden_quality, Rising_star",38.33646450986512,65.17242114685963,Up
9,GIOCOSO,9,38.41020249183666,16.0,Low,Hidden_quality,37.91101952172088,67.00081235687419,Up
9,DISCREET DANCER,18,37.42515165605953,17.0,Low,Hidden_quality,30.814381720430106,61.86226627288662,Up
9,SPIRIT RAGS,16,33.39754161390459,18.0,Low,"Hidden_quality, Rising_star",32.578384615384614,49.957561789938396,Up
