race,horse_name,post_position,composite_form_score,form_rank,form_cycle_state,form_edge,beaten_time_trend,avg_position_gain,strong_late_kick,bounce_risk
11,REDISTRICTING,4,60.802727272727275,3.0,FRESHENING,Consistent_closer,-0.23500000000000001,2.8333333333333335,True,Historical_bouncer
11,BRILLIANT BERTI,11,60.26193181818182,4.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.19999999999999996,4.125,True,Historical_bouncer
11,GOLD PHOENIX,2,59.87499999999999,5.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.06071428571428572,2.9,True,Historical_bouncer
11,SPIRIT OF ST LOUIS,10,59.32436363636364,6.0,FRESHENING,Fresh_and_ready,0.16899999999999998,2.3,False,Low
11,INTEGRATION,1,57.51212121212121,7.0,FRESHENING,Fresh_and_ready,-5.9476233462061954e-18,1.9,False,Low
11,IDRATHERBEBLESSED,5,57.28215151515152,8.0,IMPROVING,None,0.13766666666666671,-1.9,False,Low
11,GIGANTE,12,55.6125974025974,9.0,FRESHENING,Fresh_and_ready,-0.07714285714285715,1.7,False,Historical_bouncer
11,RUNNING BEE,7,54.505,10.0,FRESHENING,Fresh_and_ready,-0.06,0.5,False,Low
11,TAKING CANDY,6,54.08,11.0,FRESHENING,Fresh_and_ready,-0.20999999999999996,2.0,False,Historical_bouncer
11,MERCANTE,9,52.478701298701296,12.0,FRESHENING,Fresh_and_ready,-0.46519480519480516,1.5,False,Historical_bouncer
12,FINAL GAMBIT,3,64.1875,1.0,FRESHENING,"Consistent_closer, Fresh_and_ready",0.0,7.25,True,Low
12,BURNHAM SQUARE,9,63.88409090909091,2.0,FRESHENING,Fresh_and_ready,0.2545454545454545,4.833333333333333,True,Historical_bouncer
12,SANDMAN,17,63.51655303030304,3.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.5281818181818182,4.375,True,Historical_bouncer
12,COAL BATTLE,16,63.17727272727273,4.0,FRESHENING,Fresh_and_ready,0.09999999999999998,2.5,True,Historical_bouncer
12,CHUNK OF GOLD,19,62.6375,5.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.024999999999999963,5.25,True,Low
12,FLYING MOHAWK,11,61.54992063492063,6.0,FRESHENING,"Often_troubled, Fresh_and_ready",0.019999999999999983,2.8333333333333335,False,Low
12,PUBLISHER,13,60.87142857142857,7.0,FRESHENING,"Consistent_closer, Fresh_and_ready",0.05178571428571428,3.0,True,Historical_bouncer
12,JOURNALISM,8,60.4,8.0,FRESHENING,"Consistent_closer, Fresh_and_ready",0.0,2.2,True,Low
12,LUXOR CAFE,7,58.17574285714286,9.0,INSUFFICIENT_DATA,"Consistent_closer, Fresh_and_ready",0.02537142857142856,4.166666666666667,True,
12,SOVEREIGNTY,18,57.059090909090905,10.0,STABLE,Consistent_closer,-0.17045454545454547,3.2,True,Historical_bouncer
12,GRANDE,10,55.5,11.0,FRESHENING,Fresh_and_ready,0.0,2.3333333333333335,False,Unknown
12,RODRIGUEZ,4,55.4,12.0,FRESHENING,"Sharp_improvement, Often_troubled, Fresh_and_ready",0.9,-0.2,False,Historical_bouncer
12,BAEZA,21,52.7125,13.0,FRESHENING,Fresh_and_ready,-0.8,0.75,False,Low
12,ADMIRE DAYTONA,6,52.3856,14.0,INSUFFICIENT_DATA,Fresh_and_ready,-0.057199999999999994,3.3333333333333335,False,
12,CITIZEN BULL,1,52.16666666666667,15.0,FRESHENING,None,0.0,-0.16666666666666666,False,Historical_bouncer
12,OWEN ALMIGHTY,20,50.73849206349206,16.0,FRESHENING,Fresh_and_ready,0.14999999999999997,0.7142857142857143,False,Historical_bouncer
12,EAST AVENUE,12,49.861999999999995,17.0,FRESHENING,Fresh_and_ready,-1.344,-1.6,False,Low
12,TIZTASTIC,14,49.07458333333334,18.0,DECLINING,Consistent_closer,-0.019999999999999976,2.875,True,Low
12,NEOEQUOS,2,48.48635642135642,19.0,ERRATIC,None,-0.12090909090909092,1.5,False,Historical_bouncer
12,RENDER JUDGMENT,15,47.91580086580086,20.0,DECLINING,Consistent_closer,0.11428571428571428,1.7142857142857142,True,Historical_bouncer
12,AMERICAN PROMISE,5,41.24967532467532,21.0,DECLINING,None,-0.02857142857142858,0.0,False,Historical_bouncer
13,FURIO,3,58.970454545454544,1.0,FRESHENING,Sharp_improvement,3.172727272727273,-1.5,False,Low
13,JACK'S PROMISE,1,58.93766955266955,2.0,FRESHENING,Fresh_and_ready,-0.3992207792207793,-0.5,False,Historical_bouncer
13,DAPPER MOON,2,57.52670662670663,3.0,IMPROVING,None,-0.0792748917748918,0.7,False,Historical_bouncer
13,PATCH ADAMS,11,56.51477272727273,4.0,FRESHENING,Sharp_improvement,0.9136363636363637,1.25,False,Historical_bouncer
13,TINY LAKE,5,55.9995670995671,5.0,IMPROVING,None,-0.7204545454545455,1.1428571428571428,False,Historical_bouncer
13,HAUNTED FLAME,15,55.944545454545455,6.0,STABLE,Consistent_closer,-0.5777272727272726,2.8,True,Historical_bouncer
13,FULLY VOLATILE,13,55.67,7.0,FRESHENING,Fresh_and_ready,0.135,2.2,False,Historical_bouncer
13,ROMANESQUE,9,55.0,8.0,,Fresh_and_ready,,,,
13,BIG TRUZZ,14,55.0,8.0,,Fresh_and_ready,,,,
13,TERRAPIN STATION,16,55.0,8.0,,Fresh_and_ready,,,,
13,TOUCHY,8,53.9162987012987,11.0,FRESHENING,Fresh_and_ready,0.1813636363636364,2.1666666666666665,False,Historical_bouncer
13,JOEJOE GO,12,53.30113636363637,12.0,RECOVERING,Sharp_improvement,0.6818181818181818,-0.75,False,Historical_bouncer
13,MULTIVERSE,7,53.04727272727273,13.0,FRESHENING,Fresh_and_ready,-0.5763636363636364,0.6,False,Low
13,CLASSIC TIME,6,51.27636363636364,14.0,STABLE,None,0.03818181818181815,1.6,False,Historical_bouncer
13,OPTICAL,10,47.84409090909091,15.0,RECOVERING,None,0.23454545454545456,-1.0,False,Low
13,SHAN,4,38.99034632034632,16.0,DECLINING,None,0.23029220779220777,0.3333333333333333,False,Historical_bouncer
14,EXCITE,10,56.5,1.0,FRESHENING,Sharp_improvement,1.25,0.3333333333333333,False,Unknown
14,BON TEMPS,3,56.00977633477633,2.0,IMPROVING,Often_troubled,-0.04967532467532468,-2.2857142857142856,False,Low
14,SHALLUS,11,55.393376623376625,3.0,FRESHENING,Fresh_and_ready,0.0978787878787879,3.2,False,Low
14,PEDIATRICIAN,2,55.0,4.0,,Fresh_and_ready,,,,
14,BLISTERING,4,55.0,4.0,,Fresh_and_ready,,,,
14,ADVANCED SPIRIT,5,55.0,4.0,,Fresh_and_ready,,,,
14,SEND COINS,7,55.0,4.0,,Fresh_and_ready,,,,
14,HARBE,8,55.0,4.0,,Fresh_and_ready,,,,
14,DELTA TAU CHI,9,55.0,4.0,,Fresh_and_ready,,,,
14,PURSUITNEVERSLEEPS,12,55.0,4.0,,Fresh_and_ready,,,,
14,MAINSTREAM,14,55.0,4.0,,Fresh_and_ready,,,,
14,ARTHUR JR,6,51.392754545454544,12.0,FRESHENING,Fresh_and_ready,0.04012727272727272,-3.25,False,Low
14,LAMBO,13,49.47818181818182,13.0,STABLE,None,0.1890909090909091,-1.2,False,Historical_bouncer
14,INTO THIN AIR,1,47.4,14.0,STABLE,Often_troubled,-0.5499999999999998,-2.0,False,Unknown
