race,horse_name,post_position,age,composite_fitness_score,fitness_category,fitness_rank,improving,recovery_score,form_momentum_score,cardiovascular_fitness_score,sectional_improvement_score,energy_efficiency_score
8,BOBBY BOB,2,2003,18.429128765972116,Poor,16.0,False,58.668850917249316,-54.65454257619147,47.75,0.8104642547748505,8.0
9,RAGING SEA,4,2005,37.11524040295423,Poor,1.0,False,89.65194642983485,-25.192602258180536,71.7,4.032098246071071,32.5
9,TARIFA,6,2004,32.934204257544316,Poor,2.0,True,66.05451366934925,31.116316534711032,31.75,2.6843953412056223,16.0
9,CANDIED,5,2004,29.819580027864447,Poor,3.0,True,41.7174158952345,15.314500963203011,37.7,0.18556330874915464,14.0
9,LESLIE'S ROSE,3,2004,26.31897839066571,Poor,4.0,True,92.01107380222817,13.803506797558471,0.0,4.099289744207622,-22.0
9,DAZZLING MOVE,2,2004,25.758544538383106,Poor,5.0,True,55.09265145458513,26.636625057520078,27.833333333333332,2.9886573848601032,-8.0
9,DORTH VADER,1,2005,24.432618715850364,Poor,6.0,False,46.023716346662106,2.6590755505658574,23.278,2.13492039787421,2.5
9,RANDOMIZED,7,2005,12.371695004797596,Poor,7.0,False,64.13605469784906,-27.364789930816485,0.0,2.458905261752995,-15.0
10,TIMEOUT,12,2004,53.61131525813349,Fair,1.0,True,87.10785229704598,100.0,58.25705765407555,2.302981597679391,24.0
10,FLATTEN THE CURVE,1,2006,41.661071307953726,Fair,2.0,False,,-0.033572152277649904,,,
10,LIMITED LIABILITY,3,2006,41.07153802731011,Fair,3.0,True,75.47919000345892,37.90844384686221,62.14678304832193,3.3948112652176072,17.5
10,LORD FLINTSHIRE,10,2007,40.6944457343531,Fair,4.0,False,100.0,6.149978991653372,58.668173934588694,-0.6514785201234525,10.0
10,LA MEHANA,4,2006,40.48103436950499,Fair,5.0,False,100.0,-30.025293879362717,100.0,0.4115000963926567,22.5
10,ANGLOPHILE,5,2005,40.14312977416989,Fair,6.0,False,49.074399742172254,29.189988634418633,75.62784907766563,-1.0334588092371675,38.0
10,CURBSTONE,7,2006,39.75398982242207,Poor,7.0,True,50.8587302639016,44.69345320558811,64.82493280959272,2.1468226554500047,26.0
