2025-05-31 19:49:01,272 - __main__ - INFO - Pipeline started. Project Root: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project
2025-05-31 19:49:01,273 - __main__ - INFO - Using settings: RAW_DATA_DIR=C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\raw, PROCESSED_DATA_DIR=C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\processed, CACHE_DIR=C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\cache
2025-05-31 19:49:01,273 - __main__ - INFO - === Starting Horse Racing Data Pipeline ===
2025-05-31 19:49:01,275 - __main__ - INFO - Searching for DRF files in: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\raw with pattern: '*DRF'
2025-05-31 19:49:01,276 - __main__ - INFO - Using DRF file: PIM0509.DRF
2025-05-31 19:49:01,276 - __main__ - INFO - --- Step 1: Parsing DRF file (using src/parsers/bris_spec_new.py) ---
2025-05-31 19:49:01,277 - src.parsers.bris_spec_new - INFO - --- bris_spec_new.main() starting ---
2025-05-31 19:49:01,277 - src.parsers.bris_spec_new - INFO - Processing DRF file provided as argument: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\raw\PIM0509.DRF
2025-05-31 19:49:01,277 - src.parsers.bris_spec_new - INFO - Loading specification cache from: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\cache\bris_spec.pkl
2025-05-31 19:49:01,289 - src.parsers.bris_spec_new - INFO - Parsing field types from: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\raw\bris_dict.txt
2025-05-31 19:49:01,310 - src.parsers.bris_spec_new - INFO - Parsed types for 190 fields from bris_dict.txt.
2025-05-31 19:49:01,312 - src.parsers.bris_spec_new - INFO - 
Attempting to parse PIM0509.DRF as comma-delimited...
2025-05-31 19:49:01,312 - src.parsers.bris_spec_new - INFO - Excluding columns starting with 'reserved'. Using 1321 out of 1435 columns.
2025-05-31 19:49:01,416 - src.parsers.bris_spec_new - INFO - Parsing successful. Read 92 lines from PIM0509.DRF.
2025-05-31 19:49:01,417 - src.parsers.bris_spec_new - INFO - 
Identifying column types using parsed bris_dict.txt info...
2025-05-31 19:49:01,439 - src.parsers.bris_spec_new - INFO - Identified 123 numeric columns using spec.
2025-05-31 19:49:01,440 - src.parsers.bris_spec_new - INFO - Identified 21 date columns using spec.
2025-05-31 19:49:01,440 - src.parsers.bris_spec_new - INFO - 
Attempting data type conversions...
2025-05-31 19:49:01,441 - src.parsers.bris_spec_new - INFO - Converting 123 columns to numeric...
2025-05-31 19:49:01,455 - src.parsers.bris_spec_new - INFO - Successfully converted 123 numeric columns.
2025-05-31 19:49:01,455 - src.parsers.bris_spec_new - INFO - Converting 21 columns to datetime...
2025-05-31 19:49:01,463 - src.parsers.bris_spec_new - INFO - Successfully converted 21 date columns.
2025-05-31 19:49:01,471 - src.parsers.bris_spec_new - INFO - 
Saving the processed data to Parquet file: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\processed\parsed_race_data_full.parquet
2025-05-31 19:49:01,835 - src.parsers.bris_spec_new - INFO - 
Successfully saved final data to: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\processed\parsed_race_data_full.parquet
2025-05-31 19:49:01,835 - src.parsers.bris_spec_new - INFO - Final DataFrame shape: (92, 1332)
2025-05-31 19:49:01,836 - src.parsers.bris_spec_new - INFO - Final DataFrame Info:
2025-05-31 19:49:01,836 - src.parsers.bris_spec_new - INFO - --- bris_spec_new.main() finished ---
2025-05-31 19:49:01,838 - __main__ - INFO - --- Step 1: Parsing DRF file completed ---
2025-05-31 19:49:01,838 - __main__ - INFO - --- Step 2: Creating current race info ---
2025-05-31 19:49:05,434 - src.transformers.current_race_info - INFO - --- Creating Current Race Info File (2025-05-31 19:49:05 EDT) ---
2025-05-31 19:49:05,435 - src.transformers.current_race_info - INFO - Loading wide format data from: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\processed\parsed_race_data_full.parquet
2025-05-31 19:49:06,153 - src.transformers.current_race_info - INFO - Loaded wide data with shape: (92, 1332)
2025-05-31 19:49:06,157 - src.transformers.current_race_info - INFO - 
Dropping 1018 wide workout/past performance columns...
2025-05-31 19:49:06,166 - src.transformers.current_race_info - INFO - DataFrame shape after dropping columns: (92, 335)
2025-05-31 19:49:06,167 - src.transformers.current_race_info - INFO - Number of columns actually dropped: 997
2025-05-31 19:49:06,167 - src.transformers.current_race_info - INFO - 
Saving current race info data to: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\processed\current_race_info.parquet
2025-05-31 19:49:06,216 - src.transformers.current_race_info - INFO - Save complete.
2025-05-31 19:49:06,216 - src.transformers.current_race_info - INFO - 
Output DataFrame Info:
2025-05-31 19:49:06,217 - src.transformers.current_race_info - INFO - 
--- Script Finished (2025-05-31 19:49:06 EDT) ---
2025-05-31 19:49:06,218 - __main__ - INFO - --- Step 2: Creating current race info completed ---
2025-05-31 19:49:06,219 - __main__ - INFO - --- Step 3: Transforming workouts ---
2025-05-31 19:49:06,219 - src.transformers.transform_workouts - INFO - --- Starting Workout Data Reshaping (2025-05-31 19:49:06 EDT) ---
2025-05-31 19:49:06,309 - src.transformers.transform_workouts - INFO - Using ID Variables: ['track', 'race', 'post_position', 'horse_name']
2025-05-31 19:49:06,309 - src.transformers.transform_workouts - INFO - Reshaping workout data using specification (Field# -> Actual Column Label)...
2025-05-31 19:49:06,319 - src.transformers.transform_workouts - INFO - Concatenating data for all workouts...
2025-05-31 19:49:06,321 - src.transformers.transform_workouts - INFO - Raw concatenated workout data shape: (1104, 14)
2025-05-31 19:49:06,325 - src.transformers.transform_workouts - INFO - Saving long format workout data to: C:\Users\nblza1\OneDrive - NBIM\Documents\Coding\horse_racing_project\data\processed\workouts_long_format.parquet
2025-05-31 19:49:06,330 - src.transformers.transform_workouts - INFO - Save complete.
2025-05-31 19:49:06,330 - src.transformers.transform_workouts - INFO - Output DataFrame Info:
2025-05-31 19:49:06,333 - src.transformers.transform_workouts - INFO - --- Workout Reshaping Script Finished (2025-05-31 19:49:06 EDT) ---
2025-05-31 19:49:06,334 - __main__ - INFO - --- Step 3: Transforming workouts completed ---
2025-05-31 19:49:06,334 - __main__ - INFO - --- Step 4: Transforming past starts ---
2025-05-31 19:49:06,334 - src.transformers.transform_past_starts - INFO - --- Starting Past Performance Data Reshaping (2025-05-31 19:49:06 EDT) ---
2025-05-31 19:49:06,437 - src.transformers.transform_past_starts - INFO - Using ID Variables: ['track', 'race', 'post_position', 'horse_name']
2025-05-31 19:49:06,437 - src.transformers.transform_past_starts - INFO - Reshaping past performance data using specification and pd.melt...
2025-05-31 19:49:06,684 - src.transformers.transform_past_starts - INFO - Joining 94 melted metric DataFrames...
2025-05-31 19:49:06,684 - src.transformers.transform_past_starts - INFO -   Starting join with 'pp_race_date' (920 rows)
2025-05-31 19:49:06,685 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_days_since_prev' (828 rows)
2025-05-31 19:49:06,687 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 7)
2025-05-31 19:49:06,688 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_track_code' (920 rows)
2025-05-31 19:49:06,691 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 8)
2025-05-31 19:49:06,692 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_track_code_bris' (920 rows)
2025-05-31 19:49:06,694 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 9)
2025-05-31 19:49:06,695 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_race_num' (920 rows)
2025-05-31 19:49:06,696 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 10)
2025-05-31 19:49:06,697 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_track_condition' (920 rows)
2025-05-31 19:49:06,700 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 11)
2025-05-31 19:49:06,700 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_distance' (920 rows)
2025-05-31 19:49:06,702 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 12)
2025-05-31 19:49:06,703 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_surface' (920 rows)
2025-05-31 19:49:06,705 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 13)
2025-05-31 19:49:06,706 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_chute_indicator' (920 rows)
2025-05-31 19:49:06,707 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 14)
2025-05-31 19:49:06,709 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_num_entrants' (920 rows)
2025-05-31 19:49:06,711 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 15)
2025-05-31 19:49:06,711 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_post_position' (920 rows)
2025-05-31 19:49:06,714 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 16)
2025-05-31 19:49:06,715 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_equipment' (920 rows)
2025-05-31 19:49:06,717 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 17)
2025-05-31 19:49:06,717 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_racename' (920 rows)
2025-05-31 19:49:06,719 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 18)
2025-05-31 19:49:06,720 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_medication' (920 rows)
2025-05-31 19:49:06,722 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 19)
2025-05-31 19:49:06,723 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_trip_comment' (920 rows)
2025-05-31 19:49:06,725 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 20)
2025-05-31 19:49:06,726 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_winner_name' (920 rows)
2025-05-31 19:49:06,727 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 21)
2025-05-31 19:49:06,728 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_second_name' (920 rows)
2025-05-31 19:49:06,730 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 22)
2025-05-31 19:49:06,731 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_third_name' (920 rows)
2025-05-31 19:49:06,733 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 23)
2025-05-31 19:49:06,734 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_winner_weight' (920 rows)
2025-05-31 19:49:06,736 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 24)
2025-05-31 19:49:06,737 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_second_weight' (920 rows)
2025-05-31 19:49:06,739 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 25)
2025-05-31 19:49:06,739 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_third_weight' (920 rows)
2025-05-31 19:49:06,741 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 26)
2025-05-31 19:49:06,742 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_winner_margin' (920 rows)
2025-05-31 19:49:06,744 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 27)
2025-05-31 19:49:06,745 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_second_margin' (920 rows)
2025-05-31 19:49:06,747 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 28)
2025-05-31 19:49:06,747 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_third_margin' (920 rows)
2025-05-31 19:49:06,749 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 29)
2025-05-31 19:49:06,749 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_extra_comment' (920 rows)
2025-05-31 19:49:06,752 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 30)
2025-05-31 19:49:06,753 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_weight_carried' (920 rows)
2025-05-31 19:49:06,755 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 31)
2025-05-31 19:49:06,755 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_odds' (920 rows)
2025-05-31 19:49:06,758 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 32)
2025-05-31 19:49:06,758 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_entry_indicator' (920 rows)
2025-05-31 19:49:06,761 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 33)
2025-05-31 19:49:06,761 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_race_classification' (920 rows)
2025-05-31 19:49:06,764 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 34)
2025-05-31 19:49:06,764 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_claiming_price' (920 rows)
2025-05-31 19:49:06,767 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 35)
2025-05-31 19:49:06,767 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_purse' (920 rows)
2025-05-31 19:49:06,770 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 36)
2025-05-31 19:49:06,770 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_start_call_pos' (920 rows)
2025-05-31 19:49:06,773 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 37)
2025-05-31 19:49:06,774 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_first_call_pos' (920 rows)
2025-05-31 19:49:06,776 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 38)
2025-05-31 19:49:06,777 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_second_call_pos' (920 rows)
2025-05-31 19:49:06,779 - src.transformers.transform_past_starts - INFO -   Shape after merge: (920, 39)
2025-05-31 19:49:06,779 - src.transformers.transform_past_starts - INFO -   Merging with 'pp_gate_call_pos' (920 rows)
